source_year,source_series,source_track,source_name,normalized_paper_name,normalized_track,question_count,review_status,note
1990,G,,全国卷,全国卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
1991,G,,全国卷,全国卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
1999,G,理科,全国卷（理）,全国卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2002,G,理科,北京卷（理）,北京卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2003,G,,上海卷,上海卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2003,G,文科,北京卷（文）,北京卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2004,G,理科,全国II卷（理）,全国II卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2004,G,,北京春考,北京春考,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2004,G,文科,天津卷（文）,天津卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2004,G,理科,天津卷（理）,天津卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2004,G,理科,湖北卷（理）,湖北卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,上海卷,上海卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,全国III卷,全国III卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,全国II卷,全国II卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,理科,全国II卷（理）,全国II卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,全国卷II,全国卷II,综合,16,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,理科,全国卷II（理）,全国卷II,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,理科,全国卷I（理）,全国卷I,理科,17,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,理科,北京卷（理）,北京卷,理科,14,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,大纲II卷,大纲II卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,大纲卷II,大纲卷II,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,天津卷,天津卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,江苏卷,江苏卷,综合,3,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,文科,湖北卷（文）,湖北卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,理科,湖北卷（理）,湖北卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2005,G,,辽宁卷,辽宁卷,综合,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,,上海卷,上海卷,综合,15,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,,全国II卷,全国II卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,,全国I卷,全国I卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,理科,四川卷（理）,四川卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,文科,安徽卷（文）,安徽卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,,江西卷,江西卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,理科,江西卷（理）,江西卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,理科,辽宁卷（理）,辽宁卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2006,G,文科,陕西卷（文）,陕西卷,文科,16,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2007,G,理科,四川卷（理）,四川卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2007,G,理科,安徽卷（理）,安徽卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2007,G,文科,广东卷（文）,广东卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2007,G,文科,湖北卷（文）,湖北卷,文科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2007,G,理科,湖北卷（理）,湖北卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2007,G,理科,辽宁卷（理）,辽宁卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,,上海卷,上海卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,文科,全国卷（文）,全国卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,理科,全国卷（理）,全国卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,理科,全国大纲卷（理）,全国大纲卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,理科,四川卷（理）,四川卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,文科,广东卷（文）,广东卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,,江苏卷,江苏卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,理科,江西卷（理）,江西卷,理科,14,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,,湖南卷,湖南卷,综合,16,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2008,G,理科,辽宁卷（理）,辽宁卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,,上海卷,上海卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,理科,天津卷（理）,天津卷,理科,14,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,,江苏卷,江苏卷,综合,3,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,,江西卷,江西卷,综合,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,文科,江西卷（文）,江西卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,理科,江西卷（理）,江西卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,,港台华侨联考,港台华侨联考,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,理科,湖南卷（理）,湖南卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,理科,福建卷（理）,福建卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,,辽宁卷,辽宁卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2009,G,理科,陕西卷（理）,陕西卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,,上海卷,上海卷,综合,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,上海卷（理）,上海卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,全国II卷（理）,全国II卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,四川卷（理）,四川卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,文科,天津卷（文）,天津卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,,安徽卷,安徽卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,安徽卷（理）,安徽卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,,江苏卷,江苏卷,综合,3,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,,江西卷,江西卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,江西卷（理）,江西卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,文科,浙江卷（文）,浙江卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,浙江卷（理）,浙江卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,,湖北卷,湖北卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,湖北卷（理）,湖北卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,湖南卷（理）,湖南卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,福建卷（理）,福建卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2010,G,理科,重庆卷（理）,重庆卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,理科,上海卷（理）,上海卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,,安徽卷,安徽卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,理科,安徽卷（理）,安徽卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,理科,山东卷（理）,山东卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,,江苏卷,江苏卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,,浙江卷,浙江卷,综合,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,文科,浙江卷（文）,浙江卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,理科,浙江卷（理）,浙江卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,理科,湖北卷（理）,湖北卷,理科,14,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,文科,湖南卷（文）,湖南卷,文科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,理科,湖南卷（理）,湖南卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,,福建卷,福建卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2011,G,,重庆卷,重庆卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,,上海卷,上海卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,文科,上海卷（文）,上海卷,文科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,上海卷（理）,上海卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,四川卷（理）,四川卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,江苏卷（理）,江苏卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,江西卷（理）,江西卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,文科,浙江卷（文）,浙江卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,浙江卷（理）,浙江卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,文科,湖北卷（文）,湖北卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,文科,湖南卷（文）,湖南卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,湖南卷（理）,湖南卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,福建卷（理）,福建卷,理科,6,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,文科,课标全国卷（文）,课标全国卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2012,G,理科,重庆卷（理）,重庆卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,,四川卷,四川卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,理科,大纲卷（理）,大纲卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,,安徽卷,安徽卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,文科,安徽卷（文）,安徽卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,文科,山东卷（文）,山东卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,理科,广东卷（理）,广东卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,,江苏卷,江苏卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,,浙江卷,浙江卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,文科,浙江卷（文）,浙江卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,理科,浙江卷（理）,浙江卷,理科,2,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,,湖南卷,湖南卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,文科,湖南卷（文）,湖南卷,文科,3,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,理科,湖南卷（理）,湖南卷,理科,3,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,G,理科,重庆卷（理）,重庆卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2013,M,文科,广东卷（文）改,广东卷（文）改,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,理科,全国II卷（理）,全国II卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,理科,北京卷（理）,北京卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,理科,安徽卷（理）,安徽卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,文科,山东卷（文）,山东卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,,广东卷,广东卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,,江苏卷,江苏卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,文科,江西卷（文）,江西卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,理科,江西卷（理）,江西卷,理科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,文科,浙江卷（文）,浙江卷,文科,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,理科,浙江卷（理）,浙江卷,理科,8,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,,福建卷,福建卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,,课标全国II卷,课标全国II卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,,课标全国I卷,课标全国I卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
2014,G,,陕西卷,陕西卷,综合,1,approved,agent-reviewed high confidence: required fields present; track empty or consistent
