review_id,issue_type,paper_id,paper_label,question_ids,legacy_ids,chapters,recommended_action,decision,canonical_question_id,merge_into_knowledge_areas,note
R90f26b883682,duplicate_position,P8ac7d004d7,2016 四川卷 理科 第9题,Q000132 | Q000362,365 | 854,函数 | 导数,review_keep_all_or_merge_equivalent,mark_equivalent,,,"agent-reviewed: equivalent source/stem; keep separate records, mark relation only"
R79ac709f2def,duplicate_position,P7898b0db9a,2016 江苏卷 综合 第14题,Q000028 | Q000768,213 | 831,三角函数 | 解三角形,review_keep_all_or_merge_equivalent,mark_equivalent,,,"agent-reviewed: equivalent source/stem; keep separate records, mark relation only"
R0322bdb2deb5,duplicate_position,P8654d92319,2021 上海卷 综合 第12题,Q000043 | Q000496,404 | 116,三角函数 | 数列,review_keep_all_or_merge_equivalent,ignore,,,paper-position conflict resolved by moving Q000043 to 2021 Shanghai spring exam; not equivalent to Q000496
R7496a60b84c9,duplicate_position,P54aba85b99,2021 新高考I卷 新高考 第7题,Q000150 | Q000377,424 | 576,函数 | 导数,review_keep_all_or_merge_equivalent,mark_equivalent,,,"agent-reviewed: equivalent source/stem; keep separate records, mark relation only"
R3bf7ecdb1785,duplicate_position,P54aba85b99,2021 新高考I卷 新高考 第12题,Q000508 | Q000696,190 | 411,数列 | 立体几何,review_keep_all_or_merge_equivalent,ignore,,,paper-position conflict resolved by moving Q000508 to 2021 New Gaokao II and dropping lower-completeness Q000506 relation; not equivalent to Q000696
R14f61bff9d88,duplicate_position,P54aba85b99,2021 新高考I卷 新高考 第16题,Q000434 | Q000509,415 | 120,排列组合 | 数列,review_keep_all_or_merge_equivalent,mark_equivalent,,,"agent-reviewed: equivalent source/stem; keep separate records, mark relation only"
R2201a23dd60e,duplicate_position,P53101b6d7f,2024 上海卷 综合 第21题,Q000157 | Q000385,149 | 885,函数 | 导数,review_keep_all_or_merge_equivalent,ignore,,,paper-position conflict resolved by moving Q000157 to 2024 Shanghai spring exam question 18; not equivalent to Q000385
R0cc177f0db7c,same_stem,,2016 江苏卷 第14题 | 2016 江苏卷 第14题,Q000028 | Q000768,213 | 831,三角函数 | 解三角形,review_mark_equivalent,mark_equivalent,,,"agent-reviewed: equivalent source/stem; keep separate records, mark relation only"
Rbbabcaeee146,same_stem,,2008 全国卷（文） 第9题 | 2008 全国卷（理） 第8题,Q000184 | Q000185,407 | 408,向量 | 向量,review_mark_equivalent,mark_equivalent,,,"agent-reviewed: equivalent source/stem; keep separate records, mark relation only"
Rad4cfa696dd5,same_stem,,2011 浙江卷（文） 第21题 | 2011 浙江卷（理） 第22题,Q000344 | Q000345,3 | 4,导数 | 导数,review_mark_equivalent,mark_equivalent,,,"agent-reviewed: equivalent source/stem; keep separate records, mark relation only"
